{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1828.4207523897624, 'shape_smoothness': 7.412842208372904, 'edge_consistency': 5.083237932645317, 'edge_intensity_error': 0.0018255415848907875, 'intensity_gradient_error': 0.36842438588951715, 'intensity_variance_error': 0.1996007439594778, 'peak_intensity_consistency': 15.404779753327082, 'ge_normalized': 0.32110343015021026, 'ge': 1228.2274406544866, 'spatial_spread_error': 16.86470907338303, 'gap_error': 0.414802193875803}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1828.4207523897624, 'shape_smoothness': 7.412842208372904, 'edge_consistency': 5.083237932645317, 'edge_intensity_error': 0.0018255415848907875, 'intensity_gradient_error': 0.36842438588951715, 'intensity_variance_error': 0.1996007439594778, 'peak_intensity_consistency': 15.404779753327082, 'ge_normalized': 0.32110343015021026, 'ge': 1228.2274406544866, 'spatial_spread_error': 16.86470907338303, 'gap_error': 0.414802193875803}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1828.4207523897624, 'shape_smoothness': 7.412842208372904, 'edge_consistency': 5.083237932645317, 'edge_intensity_error': 0.0018255415848907875, 'intensity_gradient_error': 0.36842438588951715, 'intensity_variance_error': 0.1996007439594778, 'peak_intensity_consistency': 15.404779753327082, 'ge_normalized': 0.32110343015021026, 'ge': 1228.2274406544866, 'spatial_spread_error': 16.86470907338303, 'gap_error': 0.414802193875803}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 910.8297872340426, 'shape_smoothness': 8.00602597376908, 'edge_consistency': 2.618500059963827, 'edge_intensity_error': 0.0007870065664636166, 'intensity_gradient_error': 0.5292215503532408, 'intensity_variance_error': 0.2853074998997481, 'peak_intensity_consistency': 17.182330471627818, 'ge_normalized': 0.3360239757418527, 'ge': 1131.4615566302386, 'spatial_spread_error': 13.498891166738135, 'gap_error': 0.4212688763448642}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 6592.723404255318, 'shape_smoothness': 9.20345975289032, 'edge_consistency': 5.558124670727242, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.3929418681724399, 'intensity_variance_error': 0.5858809451106982, 'peak_intensity_consistency': 16.516994946992064, 'ge_normalized': 0.4320591385031881, 'ge': 956.7742467405074, 'spatial_spread_error': 18.62536757838752, 'gap_error': 0.4861895112654991}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1829.4062596361393, 'shape_smoothness': 7.410991141097798, 'edge_consistency': 5.0832191798785, 'edge_intensity_error': 0.0018300678253943409, 'intensity_gradient_error': 0.3684523140556772, 'intensity_variance_error': 0.19957217474451472, 'peak_intensity_consistency': 15.382338172385856, 'ge_normalized': 0.32077276859514403, 'ge': 1228.6756179664424, 'spatial_spread_error': 16.869410437611233, 'gap_error': 0.41480876655318316}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 9135.829787234043, 'shape_smoothness': 9.474592282537733, 'edge_consistency': 10.262581205629692, 'edge_intensity_error': 0.003661539875916183, 'intensity_gradient_error': 0.29694790505441077, 'intensity_variance_error': 0.6593148366329468, 'peak_intensity_consistency': 14.713769461952978, 'ge_normalized': 0.48545036719308776, 'ge': 915.6765403996241, 'spatial_spread_error': 19.131858086896006, 'gap_error': 0.5704463490747685}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 35957.26241134752, 'shape_smoothness': 9.971344658833505, 'edge_consistency': 13.514105742622183, 'edge_intensity_error': 0.008887613463582708, 'intensity_gradient_error': 0.14580411338406854, 'intensity_variance_error': 0.6287150711709547, 'peak_intensity_consistency': 19.504695982019197, 'ge_normalized': 0.3504380523921361, 'ge': 912.0358196468483, 'spatial_spread_error': 17.793381806558397, 'gap_error': 0.45957208199345106}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1456.776595744681, 'shape_smoothness': 8.92563780232934, 'edge_consistency': 0.3364661752805196, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.25467611131767826, 'intensity_variance_error': nan, 'peak_intensity_consistency': 11.704625938690626, 'ge_normalized': 0.2783754639354648, 'ge': 1447.755388556082, 'spatial_spread_error': 15.209536612700532, 'gap_error': 0.3674325970278618}
{'weights': [0.05, 0.05, 0.49999999999999994, 0.39999999999999997], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 1456.776595744681, 'shape_smoothness': 8.92563780232934, 'edge_consistency': 0.3364661752805196, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.25467611131767826, 'intensity_variance_error': nan, 'peak_intensity_consistency': 11.704625938690626, 'ge_normalized': 0.2783754639354648, 'ge': 1447.755388556082, 'spatial_spread_error': 15.209536612700532, 'gap_error': 0.3674325970278618}
