{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.0, 'error1': 835.0986234104856, 'error2': 0.011464963156482431, 'error3': 21.07133739534815}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.5, 'error1': 803.3291979236736, 'error2': 0.047413536066952776, 'error3': 94.04413331525397}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 2.0, 'error1': 789.2555893811807, 'error2': 0.04636339300663892, 'error3': 211.48137702146346}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 2.5, 'error1': 788.2509115249691, 'error2': 0.045308089138412666, 'error3': 256.9562001998183}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 3.0, 'error1': 752.028970251615, 'error2': 0.053807871370416926, 'error3': 259.9435771285866}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 3.5, 'error1': 721.1544064934455, 'error2': 0.05341050449117504, 'error3': 234.1239305936809}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 4.0, 'error1': 693.4179410746838, 'error2': 0.05324122385772395, 'error3': 231.14749331483594}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 4.5, 'error1': 690.1841485579341, 'error2': 0.0561606295007106, 'error3': 224.39827063972305}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 5.0, 'error1': 662.1165550097962, 'error2': 0.055525014866057765, 'error3': 221.77443786857023}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 5.5, 'error1': 672.2997534553133, 'error2': 0.05576849584746633, 'error3': 209.86823868086262}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.0, 'error1': 650.4191065972741, 'error2': 0.05564358359943485, 'error3': 215.45069316707358}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.5, 'error1': 646.9377421808971, 'error2': 0.055364965382074055, 'error3': 204.2774039667236}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.0, 'error1': 641.226821164706, 'error2': 0.05547218355982794, 'error3': 188.95614809332346}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.5, 'error1': 588.9706842111309, 'error2': 0.05718034317614432, 'error3': 164.87331919576204}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 0.5, 'error1': 975.7305580266609, 'error2': 0.0036025489589741008, 'error3': 3.9396712738010233}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.0, 'error1': 830.0439046781278, 'error2': 0.0055225430454996114, 'error3': 11.97073075661537}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.5, 'error1': 796.1851747514843, 'error2': 0.03531422133170167, 'error3': 32.655417359297694}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.0, 'error1': 800.7218936371708, 'error2': 0.04768854442872522, 'error3': 132.79286827469573}
