{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.0, 'error1': 1487.1650387356306, 'error2': 0.032148378558085666, 'error3': 148.33308667361732}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.5, 'error1': 1567.5025447298663, 'error2': 0.03175187059490826, 'error3': 140.1366009438426}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 0.5, 'error1': 1193.9648493406805, 'error2': 0.06299324198919777, 'error3': 89.27521340758413}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.0, 'error1': 1652.382537066548, 'error2': 0.06292773644266325, 'error3': 95.17031702462167}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.5, 'error1': 1124.649743028099, 'error2': 0.05265543273936528, 'error3': 200.81558107476826}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.0, 'error1': 1951.3451832760986, 'error2': 0.04133531483759862, 'error3': 208.93023739953563}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.5, 'error1': 1787.3566830943387, 'error2': 0.03803980237000515, 'error3': 190.32129728170048}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.0, 'error1': 1332.6872310024614, 'error2': 0.036300292757327775, 'error3': 178.29385767037527}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.5, 'error1': 1193.380769700313, 'error2': 0.03477725181177324, 'error3': 185.939532841206}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.0, 'error1': 1232.9888418217452, 'error2': 0.03373022037829766, 'error3': 179.14554509982779}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.5, 'error1': 1194.7074894400757, 'error2': 0.033009972596956004, 'error3': 172.27284941394205}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.0, 'error1': 1158.1365590675941, 'error2': 0.032797964514040545, 'error3': 161.63377566373407}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.5, 'error1': 1217.5622680937001, 'error2': 0.03305561467528037, 'error3': 160.11944236014332}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.0, 'error1': 1313.797784341326, 'error2': 0.03282917231642175, 'error3': 146.52019326017555}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.5, 'error1': 1181.001222184565, 'error2': 0.03185863798158944, 'error3': 129.0973346534006}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.0, 'error1': 1270.429508695458, 'error2': 0.031584303403575674, 'error3': 132.7106493245566}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.5, 'error1': 1348.3330352084054, 'error2': 0.031911727029832415, 'error3': 126.45589867961917}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 0.5, 'error1': 1198.3716689910832, 'error2': 0.06289262721125807, 'error3': 93.34711574459435}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.0, 'error1': 1338.7032893927399, 'error2': 0.06261568318332891, 'error3': 94.9901403927049}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.5, 'error1': 1647.6056862200076, 'error2': 0.0621007054419735, 'error3': 114.83799583938828}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.0, 'error1': 1395.3009921690323, 'error2': 0.04918019269547815, 'error3': 209.28647545447154}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.5, 'error1': 1434.640243163718, 'error2': 0.04154316258174124, 'error3': 228.5337141890047}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.0, 'error1': 1257.6497257302387, 'error2': 0.039025578613716104, 'error3': 201.22837977613372}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.5, 'error1': 1262.4415324415302, 'error2': 0.03660387293756819, 'error3': 196.29534013640782}
