Running with bandwidths: [0.45000000000000007, 0.45000000000000007] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.5000000000000004,  Error: 1.852047350525094
Running with bandwidths: [0.7000000000000002, 0.7000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8387146922313369
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.8000000000000007,  Error: 1.8808803210047709
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.8000000000000007,  Error: 1.8808803210047709
Running with bandwidths: [0.8000000000000002, 0.8000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8388250086280438
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.7000000000000006,  Error: 1.8484151823797006
Running with bandwidths: [0.8500000000000002, 0.8500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8314184044120307
Running with bandwidths: [0.5000000000000001, 0.5000000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.5000000000000004,  Error: 1.845265985980883
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.8000000000000007,  Error: 1.8808803210047709
Running with bandwidths: [0.25000000000000006, 0.25000000000000006] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.6000000000000005,  Error: 1.8297807217137172
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.9000000000000008,  Error: 1.8251834118533683
Running with bandwidths: [0.40000000000000013, 0.40000000000000013] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.7000000000000006,  Error: 1.8484677534778287
Running with bandwidths: [0.1, 0.1] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.5000000000000004,  Error: 1.8519269886832777
Running with bandwidths: [1.0, 1.0] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.7744206164080638
Running with bandwidths: [0.5500000000000002, 0.5500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.5000000000000004,  Error: 1.8504359618615553
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.9000000000000008,  Error: 1.8251834118533683
Running with bandwidths: [0.30000000000000004, 0.30000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.4000000000000004,  Error: 1.8227823994178085
Running with bandwidths: [0.6000000000000002, 0.6000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.4000000000000004,  Error: 1.8465480386534405
Running with bandwidths: [0.20000000000000004, 0.20000000000000004] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.6000000000000005,  Error: 1.8347689045074755
Running with bandwidths: [0.9000000000000002, 0.9000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.2000000000000002,  Error: 1.7986410029408628
Running with bandwidths: [0.45000000000000007, 0.45000000000000007] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.6000000000000005,  Error: 1.8312038002979134
Running with bandwidths: [1.4, 1.4] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.1,  Error: 1.9224382501341413
Running with bandwidths: [0.7500000000000002, 0.7500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.3000000000000003,  Error: 1.8387504579854357
Running with bandwidths: [0.3500000000000001, 0.3500000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.8000000000000007,  Error: 1.8656824697174372
Running with bandwidths: [0.15000000000000002, 0.15000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.9000000000000008,  Error: 1.8251834118533683
Running with bandwidths: [0.8000000000000002, 0.8000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.4000000000000004,  Error: 1.857214338400378
Running with bandwidths: [0.7000000000000002, 0.7000000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.4000000000000004,  Error: 1.8491413417041622
Running with bandwidths: [0.01, 0.01] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 2.000000000000001,  Error: 1.8326301700635763
Running with bandwidths: [0.5000000000000001, 0.5000000000000001] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.6000000000000005,  Error: 1.8474688039599487
Running with bandwidths: [0.060000000000000005, 0.060000000000000005] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 2.000000000000001,  Error: 1.8326301700635763
Running with bandwidths: [0.40000000000000013, 0.40000000000000013] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.8000000000000007,  Error: 1.8681858983936706
Running with bandwidths: [0.8500000000000002, 0.8500000000000002] alpha: 0.8, beta: 0.2, probability calculation mode: gaussian_kernel, weight: 1.0, pixel value weight: 1.4000000000000004,  Error: 1.8570854008041224
