{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.5, 'error1': 987.2114055141475, 'error2': 0.025928597939017244, 'error3': 58.606053076467425}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.0, 'error1': 983.0750506949313, 'error2': 0.027498367941921266, 'error3': 76.08248199348834}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 4.5, 'error1': 899.7499488144832, 'error2': 0.027032846541703792, 'error3': 97.19767260975088}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.0, 'error1': 816.0626362142111, 'error2': 0.02775672232067536, 'error3': 87.0715536074529}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 5.5, 'error1': 737.1068052694102, 'error2': 0.02840617993219242, 'error3': 63.2633328030094}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.0, 'error1': 729.7541715167673, 'error2': 0.02910329563635746, 'error3': 72.04653544203391}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 6.5, 'error1': 676.4765862367756, 'error2': 0.02928046516006777, 'error3': 47.59473015040333}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.0, 'error1': 647.8856746860412, 'error2': 0.029865404450589318, 'error3': 45.38793392316267}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 7.5, 'error1': 680.6115627298279, 'error2': 0.03076370290810438, 'error3': 54.035770042386545}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 0.5, 'error1': 731.0219612254269, 'error2': 0.01605156085667833, 'error3': 23.252542796472053}
