{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.0, 'error1': 1307.2722926133645, 'error2': 0.024892370197543298, 'error3': 289.3372223290068}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.5, 'error1': 1423.3888184539371, 'error2': 0.02574805774426016, 'error3': 271.780870273361}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.0, 'error1': 1609.3834712541102, 'error2': 0.025714789317041558, 'error3': 337.85129075809016}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.5, 'error1': 1674.689926001644, 'error2': 0.026339147956348497, 'error3': 397.83192088389075}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 0.5, 'error1': 1757.2097340889488, 'error2': 0.08952754532935636, 'error3': 786.496582531835}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.0, 'error1': 1800.726487160219, 'error2': 0.06376561778611935, 'error3': 712.4783447359727}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.5, 'error1': 1527.5063846720382, 'error2': 0.03177231628612129, 'error3': 531.2700103912557}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.0, 'error1': 1494.1840981044538, 'error2': 0.02744715964895547, 'error3': 616.4847485298059}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.5, 'error1': 1387.3693915850968, 'error2': 0.02585222901380586, 'error3': 667.7983081785907}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.0, 'error1': 1479.4497081962752, 'error2': 0.02725980192336273, 'error3': 665.4182252446485}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.5, 'error1': 1274.1474541215016, 'error2': 0.0290587893589287, 'error3': 597.5365337103271}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.0, 'error1': 1297.1782656054932, 'error2': 0.02864160723070453, 'error3': 469.4041020461422}
{'bandwidths': [0.1, 0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.5, 'error1': 1306.5812085101784, 'error2': 0.027854823199658364, 'error3': 391.2490953469938}
