{'DP': 0.76, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213632345704091, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867625311064683, 'intensity_gradient_error': 0.10437577368340303, 'intensity_variance_error': 0.12294034291734299, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360176089331415, 'ge': 1031.729593153751, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.81, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755286167911676, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926452437290044, 'intensity_gradient_error': 0.10438646795368325, 'intensity_variance_error': 0.12296083712385282, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356279333433767, 'ge': 1031.8809057221083, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.8600000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.75528925235363, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926280126961036, 'intensity_gradient_error': 0.10438623455425577, 'intensity_variance_error': 0.12296054514013785, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.135625215934172, 'ge': 1031.8810467264434, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.91, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755297346361868, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692582800859513, 'intensity_gradient_error': 0.10438490881189319, 'intensity_variance_error': 0.12295977903016428, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356180858487313, 'ge': 1031.8814167217497, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.9600000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755271603419157, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016927266182055348, 'intensity_gradient_error': 0.10438757019393263, 'intensity_variance_error': 0.12296221608753258, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356407666660633, 'ge': 1031.8802399006693, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 1.0, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755297747037857, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925805625415177, 'intensity_gradient_error': 0.1043848784963698, 'intensity_variance_error': 0.12295974110446424, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.135617732905938, 'ge': 1031.8814350454727, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 1.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213637540323796, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867766940554208, 'intensity_gradient_error': 0.10437596523285056, 'intensity_variance_error': 0.12294058217940014, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360198391814935, 'ge': 1031.7294828068834, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 1.4, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.75529282886819, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926080320141881, 'intensity_gradient_error': 0.10438525055596719, 'intensity_variance_error': 0.12296020657620346, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.135622065365827, 'ge': 1031.8812102836716, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 1.5999999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755295318796664, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925941230955133, 'intensity_gradient_error': 0.10438506216965382, 'intensity_variance_error': 0.12295997089528997, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356198720017097, 'ge': 1031.8813241230398, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 1.7999999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755269714492256, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692737170229209, 'intensity_gradient_error': 0.10438771312752672, 'intensity_variance_error': 0.1229623949221369, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356424315121623, 'ge': 1031.8801536415776, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 1.9999999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755294532293306, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925985146606579, 'intensity_gradient_error': 0.10438512165226252, 'intensity_variance_error': 0.1229600453169256, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356205649488196, 'ge': 1031.8812882217526, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 2.1999999999999997, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213639813953685, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867828929341645, 'intensity_gradient_error': 0.10437604907060885, 'intensity_variance_error': 0.12294068690089127, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360208153165028, 'ge': 1031.7294345101807, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 2.3999999999999995, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.2136326582853645, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.00168676338336287, 'intensity_gradient_error': 0.10437578520981186, 'intensity_variance_error': 0.1229403573146246, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360177431273204, 'ge': 1031.7295865123924, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 2.5999999999999996, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213652138334264, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868164933913935, 'intensity_gradient_error': 0.10437650350457947, 'intensity_variance_error': 0.12294125454278768, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360261064059216, 'ge': 1031.7291727353572, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 2.8, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.7552844353160655, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926549150867512, 'intensity_gradient_error': 0.10438659896673029, 'intensity_variance_error': 0.12296100104666942, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356294602794055, 'ge': 1031.8808267571344, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 2.9999999999999996, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213651396099216, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868144698556206, 'intensity_gradient_error': 0.10437647613703116, 'intensity_variance_error': 0.12294122035698891, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360257877550006, 'ge': 1031.7291884995789, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 3.1999999999999993, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.7552903801087405, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926217035652434, 'intensity_gradient_error': 0.1043854357384304, 'intensity_variance_error': 0.12296043827474279, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356242230100277, 'ge': 1031.881098564073, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 3.3999999999999995, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755292446404347, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926101604373568, 'intensity_gradient_error': 0.1043852793948884, 'intensity_variance_error': 0.12296024267971262, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356224027696702, 'ge': 1031.8811930427041, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 3.5999999999999996, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4793.05, 'shape_smoothness': 6.215539471572349, 'edge_consistency': 0.009699326098113054, 'edge_intensity_error': 0.0016978216707845654, 'intensity_gradient_error': 0.10435387023888432, 'intensity_variance_error': 0.1229466815694499, 'peak_intensity_consistency': 11.487623285123608, 'ge_normalized': 1.1363862346876688, 'ge': 1031.6900982436425, 'spatial_spread_error': 17.1423966283008, 'gap_error': 0.5607709750566894}
{'DP': 3.7999999999999994, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213654214745759, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868221542311454, 'intensity_gradient_error': 0.10437658006513142, 'intensity_variance_error': 0.12294135017741863, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360269978144342, 'ge': 1031.7291286334946, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 3.999999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755290541465528, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926207990223064, 'intensity_gradient_error': 0.10438542349126528, 'intensity_variance_error': 0.12296042296214976, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356240810533007, 'ge': 1031.8811060367432, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 4.199999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755292404629531, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926103906002394, 'intensity_gradient_error': 0.10438528251658448, 'intensity_variance_error': 0.12296024659478894, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.135622439762978, 'ge': 1031.881191229841, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 4.3999999999999995, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755290388503736, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692621651888996, 'intensity_gradient_error': 0.10438543504492537, 'intensity_variance_error': 0.12296043742154192, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356242159034575, 'ge': 1031.8810990929264, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 4.6, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755279432212232, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926828598899822, 'intensity_gradient_error': 0.1043869774969329, 'intensity_variance_error': 0.12296147462358897, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356338688968388, 'ge': 1031.880598255916, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
